height_cm,weight_kg,age,hometown,sport,classification,program
188.0,,65,"Santa Barbara, CA",Beach Volleyball;Volleyball,,Olympian
195.6,,54,Leeds,Wheelchair Rugby,,Paralympian
165.1,,31,"Franklin, MA",Rugby,,Olympian
188.0,,36,"West Nyack, NY",,,Olympian
165.1,,50,Madison,,,Team USA
167.6,,26,"Campton Hills, IL",Speedskating,,Olympian
182.9,,29,"Minneapolis, MN",Track and Field,,Olympian
177.8,,24,"Marstons Mills, MA",Curling,,Team USA
180.3,,29,"Appleton, WI",Softball,,Team USA
188.0,,29,"Victoria, TX",Archery,,Team USA
195.6,,36,"Torrance, CA",Beach Volleyball,,Olympian
157.5,,37,"Gibsonia, PA",Soccer,,Olympian
175.3,,26,"Houston, TX",Softball,,Team USA
165.1,,,St. Joseph,,,Team USA
185.4,,40,Huntington Beach,,,Olympian
193.0,,29,"Sioux Falls, SD",Track and Field;Beach Volleyball,,Olympian
190.5,,,"Evansville, IN",Swimming,,Team USA
190.5,,53,Aspen,,,Olympian
172.7,,28,"Omaha, NE",Diving,,Team USA
188.0,,,"Yorkville, IL",,,Team USA
106.7,,20,"Bozeman, MT",Para Nordic Skiing;Para Biathlon,,Paralympian
188.0,,38,"San Diego, CA",Figure Skating,,Olympian
157.5,,34,"Addison, IL",Figure Skating,,Olympian
190.5,,23,"Phoenix, AZ",Ice Hockey,,Olympian
180.3,,25,"Austin, TX",Rowing,,Olympian
182.9,,50,Oxnard,,,Olympian
180.3,,36,"Sun Valley, ID",Ice Hockey,,Olympian
190.5,,22,"Tampa, FL",Track and Field,,Olympian
172.7,,,"Pasadena, California",,,Olympian
152.4,,20,"Lake Villa, IL",Para Swimming,,Paralympian
149.9,,,Honolulu,,,Team USA
157.5,,28,"Dallas, TX",Gymnastics,,Olympian
188.0,,35,"Clayton, CA",Rowing,,Olympian
185.4,,53,"Chantilly , VA",Bobsled,,Olympian
180.3,,40,"Abington, PA",Ice Hockey,,Olympian
167.6,,,Tiffin,Para Swimming,,Paralympian
198.1,,39,"Big Bend, WI",Volleyball,,Team USA
160.0,,34,"Larksville, PA",Field Hockey,,Olympian
172.7,,30,"Eustis, FL",Baseball,,Olympian
193.0,,37,"Cincinnati, OH",Team Handball,,Team USA
180.3,,34,"Millbury, OH",Rowing,,Olympian
177.8,,34,"Eagleville, PA",Para Swimming,,Paralympian
152.4,,42,"Melvindale, MI",,,Olympian
188.0,,45,Leavenworth,,,Olympian
172.7,,39,Park City,,,Team USA
182.9,,,Philadelphia,,,Olympian
180.3,,33,"Jupiter, FL",Golf,,Olympian
177.8,,27,"Bradenton, FL",Golf,,Olympian
162.6,,,Port Orange,,,Team USA
170.2,,39,"Colorado Springs , CO",Track and Field,,Olympian
188.0,,35,"Anchorage, AK",Cross-Country Skiing,,Olympian
165.1,,36,"Concord, CA",Artistic Swimming,,Olympian
185.4,,28,"Grosse Pointe Park, MI",Rowing,,Olympian
190.5,,43,"St. Petersburg, FL",Baseball,,Olympian
182.9,,36,"Bethlehem, PA",Track and Field,,Olympian
180.3,,30,"Colorado Springs, CO",Shooting,,Olympian
129.5,,20,"Yankton, SD",Para Badminton,,Paralympian
185.4,,35,"Brandon, FL",Tennis,,Olympian
157.5,,34,"Orlando, FL",,,Team USA
177.8,,28,Hanover,,,Olympian
167.6,,32,"Palm Desert, CA",Tennis,,Olympian
177.8,,,,Bobsled,,Team USA
175.3,,48,Mogadore,,,Olympian
175.3,,34,Delano,Volleyball,,Team USA
175.3,,42,"Buford, GA",Sitting Volleyball,,Paralympian
167.6,,46,"Indian Harbour Beach, FL",Softball,,Olympian
188.0,,29,"Eastport, NY",Luge,,Olympian
167.6,,41,"Dumfries, VA",Soccer,,Olympian
157.5,,38,Ravena,Sitting Volleyball,,Paralympian
170.2,,51,"Winter Garden, FL",Waterski/Wakeboard,,Team USA
177.8,,31,"Pittsburgh, PA",,,Olympian
172.7,,35,"Naperville, IL",Soccer,,Olympian
165.1,,26,"Suwanee, GA",Softball,,Team USA
175.3,,26,"Fresno, CA",Rugby,,Olympian
185.4,,25,"Novi, MI",Ice Hockey,,Olympian
170.2,,22,"Cedarburg, WI",Para Swimming,,Paralympian
170.2,,32,"Glenview, IL",Karate,,Team USA
193.0,,47,"Sea Island, GA",Golf,,Olympian
182.9,,36,Champaign,,,Olympian
180.3,,33,"Arlington, VA",Tennis,,Olympian
180.3,,23,"San Jose, CA",Table Tennis,,Olympian
160.0,,36,Wakefield,,,Team USA
154.9,,24,"Steamboat Springs, CO",Para Alpine Skiing,,Paralympian
180.3,,33,"Denver, CO",Track and Field,,Olympian
160.0,,37,"Honolulu, HI",Karate,,Team USA
175.3,,34,"Palmer, AK",Para Alpine Skiing,,Paralympian
180.3,,41,"Commerce Township, MI",Goalball,,Paralympian
193.0,,43,Minneapolis,,,Olympian
165.1,,45,Sar Marcos,,,Team USA
172.7,,25,"Simi Valley, CA",Taekwondo,,Team USA
157.5,,45,,Figure Skating,,Olympian
160.0,,19,"Seattle, WA",Artistic Swimming,,Olympian
167.6,,22,"Rockville, MD",Speedskating,,Team USA
160.0,,31,"Torrance, CA",Karate,,Team USA
193.0,,35,"Toledo, OH",Track and Field,,Olympian
165.1,,25,"Las Vegas, NV",Artistic Swimming,,Team USA
177.8,,29,"Haverville, MA",Sled Hockey,,Paralympian
170.2,,21,"Chicago, IL",,,Team USA
195.6,,31,"Renton, WA",Basketball,,Olympian
177.8,,24,"Hong Kong, CA",Rugby,,Olympian
180.3,,55,"Reno, NV",Para-Cycling,,Paralympian
188.0,,31,"Thousand Oaks, Calif. , CA",Rugby,,Team USA
177.8,,35,"Aspen, CO",Biathlon,,Team USA
167.6,,45,Oconto,,,Paralympian
188.0,,33,,Rowing,,Team USA
172.7,,23,"Simi Valley, CA",,,Team USA
185.4,,52,San Juan,Sitting Volleyball,,Paralympian
175.3,,33,"Boulder City, NV",Shooting,,Olympian
172.7,,51,"Tucson, AZ",Track and Field,,Olympian
175.3,,36,"Portland, OR",Triathlon,,Team USA
172.7,,33,Laguna Hills,Softball,,Team USA
195.6,,28,"Versailles, Ken.",Track and Field,,Team USA
170.2,,,"Palm Springs, CA",,,Olympian
182.9,,34,"Colorado, Springs",Track and Field,,Team USA
177.8,,28,"Mountain View, CA",Badminton,,Olympian
167.6,,40,River Falls,,,Olympian
188.0,,38,"Colleyville, TX",,,Olympian
167.6,,29,"Manchester, NH",Para Track and Field,,Paralympian
162.6,,40,Glen Ellyn,,,Olympian
175.3,,35,"Lincoln, Neb.",Cycling,,Team USA
190.5,,50,"Tustin, CA",Volleyball,,Olympian
190.5,,,"Miami Lakes , FL",,,Team USA
167.6,,36,"Grand Forks, ND",Ice Hockey,,Olympian
167.6,,36,"Grand Forks, ND",Ice Hockey,,Olympian
154.9,,38,"Tomahawk, WI",Wrestling,,Team USA
182.9,,37,"Berthoud, Colo.",Sled Hockey,,Paralympian
185.4,,34,"Corvallis, MT",Bobsled,,Team USA
147.3,,31,"Delcambre, LA",Para Track and Field,,Paralympian
172.7,,24,Indian Brook,Softball,,Team USA
172.7,,30,"Prairieville, LA",Softball,,Team USA
180.3,,35,"Mapleton, MN",Curling,,Olympian
188.0,,32,"Piscataway, NJ",Para Track and Field,,Paralympian
152.4,,30,"Gilbert, AZ",Waterski/Wakeboard,,Team USA
185.4,,27,"Edwards, Colo., CO",Cycling,,Team USA
193.0,,,"Fort Worth, TX",Basketball,,Team USA
157.5,,25,"San Clemente, CA",Snowboarding,,Olympian
208.3,,33,"San Jose, CA",Volleyball,,Team USA
188.0,,43,"Melrose, MA",Bobsled,,Olympian
182.9,,37,Melrose,,,Olympian
172.7,,31,"Incline Village, NV",Alpine Skiing,,Team USA
170.2,,41,"Anaheim, CA",Softball,,Olympian
160.0,,,,,,Team USA
170.2,,27,"Glen Allen, VA",,,Team USA
182.9,,29,"Waterford, MI",Ice Hockey,,Olympian
180.3,,,"Colorado Springs, CO",Judo,,Olympian
188.0,,36,"Windsor, CA",,,Paralympian
188.0,,,"San Diego, CA",Volleyball,,Team USA
188.0,,39,"Hooper, NE",Volleyball,,Olympian
177.8,,27,"Barrington, IL",Ski Jumping,,Olympian
182.9,,34,Mesa,,,Olympian
154.9,,23,"Buffalo, NY",Artistic Swimming,,Team USA
190.5,,28,"Missouri City, Texas , TX",Track and Field,,Team USA
182.9,,38,"Jackson, MI",Rowing,,Olympian
175.3,,42,Centreville,Field Hockey,,Olympian
175.3,,43,Brownsville,,,Team USA
172.7,,23,Mandeville,,,Olympian
162.6,,30,"Cincinnati, OH",Soccer,,Olympian
167.6,,35,"Burlington, VT",Para Alpine Skiing,,Paralympian
157.5,,45,Teaneck,,,Olympian
165.1,,32,"Norfolk, VA",Racquetball,,Team USA
172.7,,45,"Alexandria, VA",Basketball,,Olympian
188.0,,31,"Texarkana, TX",Track and Field,,Olympian
167.6,,38,"Victorville, CA",Track and Field,,Team USA
165.1,,30,"Jasper, GA",Goalball,,Team USA
172.7,,31,"Beverly Hills, MI",Swimming,,Olympian
157.5,,33,Woodinville,Taekwondo,,Team USA
162.6,,,"Orange County, CA",,,Team USA
165.1,,,,,,Team USA
185.4,,35,"Cedar Rapids, IA",Figure Skating,,Olympian
129.5,,36,"Chicago, IL",Para Track and Field,,Paralympian
170.2,,33,"New Iberia, LA",Track and Field,,Olympian
188.0,,42,"Topton, PA",Cycling,,Olympian
182.9,,,"Newport News, VA",Rugby,,Team USA
182.9,,29,"Bethesda, MD",Swimming,,Olympian
172.7,,23,"Lake Placid, NY",Biathlon,,Team USA
188.0,,35,"Phelan, CA",Volleyball,,Team USA
188.0,,22,"San Ramon, CA",Taekwondo,,Team USA
177.8,,45,Brooklyn,,,Olympian
167.6,,41,Minneapolis,,,Team USA
170.2,,27,"Hermosa Beach, CA",Golf,,Team USA
162.6,,21,"Bellevue, WA",Speedskating;Short Track Speedskating,,Olympian
170.2,,26,"Fullerton, CA",,,Team USA
154.9,,22,"Santa Ana, CA",Taekwondo,,Team USA
190.5,,28,"Kailua, HI",Canoe/Kayak,,Team USA
157.5,,27,"Murrysville, PA",Wrestling,,Olympian
152.4,,23,"Saint Paul, MN",Gymnastics,,Olympian
185.4,,,"Menomonee Falls, WI",,,Olympian
167.6,,33,"West Covina, CA",Track and Field,,Team USA
170.2,,44,Baton Rouge,,,Olympian
188.0,,39,"San Francisco, CA",Sled Hockey,,Paralympian
162.6,,60,"Plano, TX",,,Team USA
170.2,,26,"Fullerton, CA",Taekwondo,,Team USA
177.8,,43,"Bethesda, MD",Canoe/Kayak,,Olympian
170.2,,23,"Bakersfield, CA",,,Team USA
170.2,,,"Port Jefferson, NY",Gymnastics,,Team USA
182.9,,41,"Williamsville, NY",Ice Hockey,,Olympian
188.0,,,"Naperville, IL",Swimming,,Team USA
162.6,,22,"Bryson City, NC",Canoe/Kayak,,Olympian
162.6,,50,"Ozone Park, NY",Para Table Tennis,,Paralympian
167.6,,52,,,,Olympian
182.9,,35,Marquette,,,Olympian
162.6,,,Somers Point,,,Team USA
200.7,,34,"Los Angeles, CA",Basketball,,Team USA
188.0,,26,"Truckee, CA",Biathlon,,Team USA
177.8,,30,"Belmont, CA",Sailing,,Olympian
175.3,,,Manning,,,Team USA
177.8,,36,"Huron, OH",Track and Field,,Team USA
175.3,,34,"Mesa, AZ",Track and Field,,Team USA
195.6,,53,"Inglewood, CA",Basketball,,Olympian
162.6,,38,"Coleman, WI",Wheelchair Basketball,,Paralympian
152.4,,25,"Medfield, MA",Speedskating,,Olympian
144.8,,25,"Glen Ellyn, IL",Para Swimming,,Paralympian
190.5,,35,"Marina, CA",Rugby,,Olympian
172.7,,26,"Bainbridge, GA",Shooting,,Olympian
167.6,,35,Tel-Aviv,Team Handball,,Olympian
167.6,,28,"Rutland , VT",Biathlon,,Team USA
154.9,,19,"Mount Laurel, NJ",Figure Skating,,Team USA
162.6,,30,"San Diego, CA",Rugby,,Olympian
172.7,,27,"Winston, MO",Softball,,Team USA
157.5,,28,"Novi, MI",Figure Skating,,Team USA
175.3,,29,"San Francisco, CA",Taekwondo,,Team USA
185.4,,26,"Amboy, MN",Softball,,Team USA
165.1,,41,"Humble, TX",Golf,,Olympian
182.9,,47,Champaign,Track and Field,,Olympian
162.6,,52,Jastrzebie,,,Olympian
170.2,,34,"Homestead, FL",Gymnastics,,Olympian
167.6,,23,"New Canaan, CT",Artistic Swimming,,Team USA
152.4,,19,"New Canaan, CT",Artistic Swimming,,Team USA
162.6,,23,"Redwood Shores, CA",Golf,,Team USA
157.5,,20,"Coppell, TX",,,Team USA
185.4,,36,Poway,Volleyball,,Team USA
193.0,,31,"El Paso, TX",Swimming,,Team USA
180.3,,41,"Park City, UT",Alpine Skiing,,Olympian
188.0,,26,"Lee's Summit, MO",Track and Field,,Olympian
180.3,,36,Kiawah Island,,,Team USA
177.8,,45,Cherry Creek,,,Olympian
188.0,,35,"Oakland, CA",Basketball,,Olympian
180.3,,,"Overland Park, Kansas",,,Olympian
162.6,,29,"North Canton, OH",Softball,,Team USA
175.3,,27,"Rochester, NY",Freestyle Skiing,,Olympian
167.6,,31,"Rochester, NY",Freestyle Skiing,,Olympian
162.6,,54,"Wilton, CT",Soccer,,Olympian
175.3,,33,Praia,Team Handball,,Team USA
188.0,,45,Fayetteville,,,Olympian
177.8,,27,"Chicago, IL",Soccer,,Team USA
154.9,,42,"Chula Vista, CA",Track and Field,,Olympian
167.6,,56,"Alta, WY",Triathlon,,Olympian
177.8,,27,"Rock Island, IL",Track and Field,,Olympian
167.6,,,Black Hawk,,,Olympian
177.8,,32,Stevenson Ranch,Softball,,Team USA
172.7,,27,"Carpentersville, IL",Karate,,Team USA
180.3,,25,"Carpentersville, IL",Karate,,Team USA
139.7,,41,"East Falmouth, MA",Wheelchair Curling,,Paralympian
157.5,,79,"Mt. Vernon, NY",Taekwondo,,Olympian
162.6,,39,"Mesquite, TX",Sled Hockey,,Paralympian
188.0,,31,"Philadelphia, PA",Canoe/Kayak,,Team USA
182.9,,48,Fayetteville,,,Olympian
172.7,,43,"Cold Spring Harbor, N.Y., NY",Para-Cycling,,Paralympian
182.9,,30,"Athens, GA",Swimming,,Olympian
175.3,,38,"Phoenix, AZ",Ice Hockey,,Olympian
167.6,,44,"Frederick, MD",Equestrian,,Team USA
175.3,,31,"Chicago, IL",Track and Field,,Olympian
175.3,,24,"San Gabriel, CA",,,Team USA
167.6,,41,"College Point, NY",Table Tennis,,Olympian
182.9,,26,Ashburn,,,Team USA
157.5,,20,"Oakland , CA",Figure Skating,,Olympian
172.7,,20,"Fullerton, CA",Artistic Swimming,,Olympian
149.9,,36,"Parker, TX",Artistic Gymnastics,,Olympian
180.3,,22,"Bethel, ME",,,Team USA
182.9,,33,"Dallas, TX",,,Team USA
180.3,,36,"Bonsall, California",Volleyball,,Olympian
172.7,,43,"Delran, NJ",Soccer,,Olympian
185.4,,26,"Lakeside, CA",Softball,,Team USA
188.0,,41,"Daytona Beach, FL",Swimming,,Olympian
170.2,,36,"White Plains, NY",Goalball,,Team USA
172.7,,37,"Murrieta, Calif. , FL",Equestrian,,Team USA
188.0,,41,"Newport Beach , CA",Rowing,,Olympian
175.3,,33,"West Dover, VT",Freestyle Skiing,,Olympian
188.0,,38,"Boothbay Harbor, ME",Rowing,,Olympian
177.8,,32,"Durango, CO",Canoe/Kayak,,Olympian
175.3,,34,"Belleair Bluffs, FL",Team Handball,,Team USA
172.7,,40,"Columbus, Ohio",Rowing,,Team USA
180.3,,28,"Waco, TX",Track and Field,,Olympian
188.0,,36,"Lakeside, CA",Cycling,,Olympian
180.3,,34,"Baltimore, MD",Para Swimming,,Paralympian
172.7,,38,"Northport, NY",Soccer,,Olympian
210.8,,33,"Morgan City, LA",Basketball,,Team USA
185.4,,29,"Moorpark, CA",Water Polo,,Olympian
185.4,,27,"Eau Claire, WI",Nordic Combined,,Olympian
177.8,,34,"Eau Claire, WI",,,Team USA
162.6,,39,Birmingham,,,Olympian
182.9,,44,Sugar Land,,,Olympian
177.8,,33,Toa Alta,Baseball,,Olympian
177.8,,42,Sugar Land,,,Olympian
172.7,,28,"Saugus, CA",Softball,,Team USA
167.6,,34,"Carlsbad, CA",Rugby,,Team USA
170.2,,35,"New Braunfels, TX",Para Track and Field,,Team USA
165.1,,29,"Moorpark, CA",Softball,,Team USA
170.2,,52,"West Hollywood, CA",Archery,,Olympian
200.7,,40,"Lakewood, CA",Volleyball,,Olympian
177.8,,31,"Pelham, NH",Freestyle Skiing,,Olympian
172.7,,31,"Houston, TX",Breaking,,Olympian
203.2,,37,"Santa Monica, CA",Basketball,,Olympian
185.4,,63,Atlanta,Para Swimming,,Paralympian
172.7,,58,New Orleans,,,Olympian
175.3,,21,"Gallatin, TN",,,Team USA
175.3,,29,"Grimes, IA",Softball,,Team USA
175.3,,42,"Riverside, CA",Track and Field,,Olympian
170.2,,41,"Tustin, CA",Softball,,Olympian
182.9,,33,"Olympia, WA",Shooting,,Olympian
193.0,,33,"Rancho Santa Fe, CA",Volleyball,,Olympian
157.5,,38,Jackson Hole,,,Olympian
182.9,,40,"Philadelphia, PA",Basketball,,Olympian
180.3,,32,"Lincolnwood, IL",Basketball,,Olympian
167.6,,36,"Bedford, MA",,,Team USA
185.4,,46,"Cooper City, FL",Volleyball,,Olympian
190.5,,36,"Ann Arbor, MI",Rowing,,Olympian
165.1,,27,"West Covina, CA",Softball,,Team USA
177.8,,55,"Littleton, CO",Para Alpine Skiing,,Paralympian
165.1,,28,"Chicago, IL",Judo,,Paralympian
190.5,,30,Milwaukee,,,Team USA
170.2,,45,"Franklin Square, NY",,,Team USA
175.3,,58,"Chicago, IL",Table Tennis,,Olympian
177.8,,21,"New York, NY",Speedskating;Short Track Speedskating,,Olympian
190.5,,33,Bethesda,,,Olympian
165.1,,27,"Milipitas, CA",Artistic Swimming,,Olympian
180.3,,41,"Wellington, FL",Equestrian,,Olympian
180.3,,28,"Alexandria, VA",Track and Field,,Olympian
172.7,,42,"Brooklyn Park, MN",Wheelchair Basketball,,Paralympian
172.7,,25,"Newnan, GA",Softball,,Team USA
190.5,,35,"Mechanicsburg, PA",Para-Cycling,,Paralympian
170.2,,25,"Dix Hills, NY",Tennis,,Olympian
190.5,,29,"Kaneohe, HI",Volleyball,,Olympian
182.9,,30,"Peabody, MA",Track and Field,,Olympian
152.4,,24,San Jose,,,Team USA
188.0,,27,"Delray Beach, FL",Sailing,,Team USA
177.8,,26,"Plymouth, MI",Ice Hockey,,Olympian
165.1,,26,"Los Angeles, CA",Soccer,,Olympian
180.3,,48,Crystal Mountain,,,Olympian
180.3,,28,"West Bloomfield, MI",Snowboarding,,Olympian
188.0,,53,Knoxville,,,Olympian
162.6,,38,"Seattle, WA",Track and Field,,Team USA
167.6,,45,"Little Rock, Ark.",,,Team USA
170.2,,23,"Park City, UT",Alpine Skiing,,Team USA
180.3,,29,"Broomfield, CO",Karate,,Team USA
162.6,,32,"Groveland , CA",Shooting,,Olympian
167.6,,62,"Cazenovia, NY",Equestrian,,Olympian
172.7,,31,"Weston, MA",Rowing,,Olympian
203.2,,36,"Los Angeles, CA",Basketball,,Olympian
162.6,,24,"Wasilla, AK",Para Snowboarding,,Paralympian
167.6,,24,"Truckee, CA",Biathlon,,Team USA
149.9,,49,"Nebraska City, NE",Para Track and Field,,Paralympian
185.4,,60,"Long Beach, CA",Para Track and Field,,Paralympian
167.6,,28,"Scituate, MA",Snowboarding,,Team USA
182.9,,26,"Laie, HI",Rugby,,Olympian
167.6,,54,Fresno,,,Olympian
177.8,,29,"Burlington, VT",Rugby,,Olympian
182.9,,35,"Chesterfield, MO",Rowing,,Team USA
175.3,,35,"Old Bridge, N.J.",Track and Field,,Team USA
157.5,,41,Northbrook,,,Olympian
203.2,,42,"Colorado Springs, Colo.",Track and Field,,Team USA
177.8,,45,Rockville,Badminton,,Olympian
182.9,,47,"Seattle, WA",Canoe/Kayak,,Olympian
177.8,,58,Portland,Para Nordic Skiing,,Paralympian
165.1,,36,"West Henrietta, NY",Canoe/Kayak,,Team USA
160.0,,39,Oak Harbor,Judo,,Olympian
172.7,,28,"Mammoth Lakes, CA",Freestyle Skiing,,Team USA
167.6,,42,Denton,,,Olympian
180.3,,24,"Fishers, IN",Para Track and Field,,Paralympian
172.7,,34,Louisville,,,Olympian
152.4,,,"Mt Prospect, IL",Karate,,Team USA
203.2,,49,Ft. Collins,,,Olympian
165.1,,26,"Summerville, GA",Gymnastics,,Olympian
172.7,,32,"Geneva, NE",Track and Field,,Olympian
175.3,,40,"Wildwood Crest, NJ",Triathlon,,Olympian
172.7,,32,"Anchorage, AK",Snowboarding,,Team USA
167.6,,42,"Palisades Tahoe, CA",Alpine Skiing,,Olympian
180.3,,24,"Bronx, NY",Track and Field,,Olympian
172.7,,29,"Buffalo, NY",Alpine Skiing,,Olympian
172.7,,36,"Crestview, FL",Speedskating,,Olympian
170.2,,43,Garden Grove,,,Olympian
157.5,,34,St. Louis,Wrestling,,Team USA
172.7,,36,"Columbus, OH",Weightlifting,,Olympian
157.5,,31,"Lititz, PA",Field Hockey,,Olympian
198.1,,40,"Newport Beach, CA",Water Polo,,Olympian
172.7,,43,Woodstock,,,Team USA
193.0,,38,"Eden Prairie, MN",Para Snowboarding,,Paralympian
175.3,,28,"Baltimore, MD",Swimming,,Team USA
182.9,,27,"Greenwich, CT",Ice Hockey,,Olympian
170.2,,41,"Alexandria, VA",Canoe/Kayak,,Team USA
165.1,,30,"Randolph, NJ",Para Alpine Skiing,,Paralympian
175.3,,40,"Youngstown, OH",,,Team USA
195.6,,42,Brenham,,,Olympian
180.3,,32,"Naples, FL",Team Handball,,Team USA
177.8,,29,"Sugar Land, TX",Swimming,,Olympian
188.0,,35,"Aspen, CO",Alpine Skiing,,Olympian
175.3,,38,,Wrestling,,Team USA
182.9,,23,"Anna Maria, FL",Sailing,,Olympian
172.7,,46,"Marquette, MI",Cycling,,Team USA
167.6,,50,Elmhurst,,,Team USA
172.7,,34,"Clearwater, FL",Swimming,,Olympian
154.9,,28,"Mammoth Lakes, CA",Snowboarding,,Olympian
193.0,,45,"Newcastle, OK",Sitting Volleyball,,Paralympian
165.1,,28,"Westport, CT",Snowboarding,,Olympian
167.6,,19,"Mount Prospect, IL",Taekwondo,,Team USA
170.2,,36,"Pennsburg, PA",,,Olympian
165.1,,35,"Colorado Springs, CO",Para Swimming,,Paralympian
165.1,,24,"Melbourne Beach, FL",Surfing,,Olympian
172.7,,45,Minneapolis,,,Olympian
160.0,,34,"Rockville, MD",Wrestling,,Olympian
160.0,,27,"Searcy, AR",Rifle Shooting,,Team USA
167.6,,39,,,,Olympian
177.8,,39,"Evansville, WI",Wheelchair Curling,,Paralympian
175.3,,34,"St. Louis, MO",,,Team USA
185.4,,38,"University Place, WA",Rowing,,Olympian
175.3,,27,"Stevens, PA",Softball,,Team USA
172.7,,25,"Houston, TX",Sailing,,Team USA
172.7,,52,Palo Alto,,,Olympian
177.8,,44,"Colorado Springs, CO",Para-Cycling,,Paralympian
147.3,,32,"Jersey City, NJ",Para Track and Field,,Paralympian
170.2,,22,Montreal,Team Handball,,Team USA
175.3,,43,Las Vegas,,,Olympian
188.0,,46,"Cochranville, PA",Equestrian,,Olympian
172.7,,39,"Seattle, WA",Para Nordic Skiing,,Paralympian
185.4,,37,"Santa Barbara, CA",Track and Field,,Team USA
177.8,,28,"Stevens, PA",Softball,,Team USA
188.0,,44,Saratoga Springs,Field Hockey,,Team USA
167.6,,37,"Burnt Hills, NY",Judo,,Team USA
175.3,,27,"Covina, CA",Softball,,Team USA
172.7,,21,"Pasadena, TX",Breaking,,Team USA
162.6,,33,"Corona, CA",Softball,,Team USA
154.9,,30,"Las Cruces, NM",Para Swimming,,Paralympian
180.3,,,"Miami, FL",,,Team USA
177.8,,,,,,Team USA
167.6,,30,Dallas,Boxing,,Team USA
170.2,,38,"Big Bear Lake, CA",Track and Field,,Olympian
160.0,,26,Humble,Boxing,,Team USA
185.4,,35,"Miami, FL",Baseball,,Olympian
172.7,,39,"Warroad, MN",Ice Hockey,,Olympian
160.0,,28,"Cleveland, OH",Para Track and Field,,Paralympian
154.9,,40,Naperville,Boccia,,Team USA
167.6,,30,"Beaverton, OR",Goalball,,Paralympian
177.8,,29,"South Bend, IN",Fencing,,Olympian
188.0,,32,"San Francisco, CA",Fencing,,Olympian
190.5,,44,Bethlehem,,,Olympian
172.7,,36,"Louisville, KY",Para Nordic Skiing;Para Biathlon;Para-Cycling;Para-Rowing,,Paralympian
190.5,,36,"Placerville, CA",Track and Field,,Team USA
165.1,,26,"Wrightwood, CA",Snowboarding,,Olympian
170.2,,21,"Coppell, TX",,,Team USA
177.8,,,Herriman,,,Paralympian
170.2,,39,"Anaheim Hills, CA",Water Polo,,Olympian
167.6,,35,"San Diego, CA",Wheelchair Tennis,,Paralympian
167.6,,41,"Phoenix, AZ",Tennis,,Olympian
172.7,,28,"Morrow, Ga.",Track and Field,,Team USA
175.3,,23,"Powell, OH",Diving,,Team USA
157.5,,34,"Frisco, CO",Freestyle Skiing,,Team USA
190.5,,28,"Scottsdale, AZ",Ice Hockey,,Olympian
182.9,,32,"East Brunswick, NJ",Track and Field,,Olympian
182.9,,25,"Gilbert, MN",Curling,,Team USA
180.3,,32,"Calgary, UT",Rugby,,Olympian
167.6,,39,Bridgewater,,,Olympian
190.5,,31,"Indianapolis, IN",Basketball,,Team USA
177.8,,,,,,Team USA
185.4,,35,"Winter Park, FL",Ice Hockey,,Olympian
175.3,,47,"Henderson, NV",Artistic Swimming,,Team USA
180.3,,48,"Los Angeles, CA",Beach Volleyball,,Olympian
172.7,,19,"Boise, ID",,,Team USA
185.4,,43,"Culver City, CA",Volleyball,,Team USA
175.3,,35,"Los Angeles, CA",Boxing,,Olympian
182.9,,30,"Manassas, VA",Para Track and Field,,Paralympian
170.2,,,Sellersburg,,,Paralympian
170.2,,38,"Roosevelt, NY",Boccia,,Paralympian
185.4,,37,"Salt Lake City, NY",Luge,,Olympian
149.9,,49,Columbia,,,Paralympian
177.8,,,"Wellesley, MA",Rowing,,Olympian
175.3,,46,Atlanta,,,Olympian
185.4,,,Winder,,,Olympian
185.4,,28,"Long Beach, NY",Ice Hockey,,Olympian
182.9,,43,"Juneau, AK",Wheelchair Rugby,,Paralympian
193.0,,25,"Apex, NC",Track and Field,,Olympian
182.9,,53,Arlington Heights,,,Olympian
182.9,,29,"Boulder, CO",Soccer 7-A-Side,,Paralympian
203.2,,26,"North Liberty, IA",Basketball,,Olympian
190.5,,,"Spring, Texas",,,Olympian
152.4,,23,"Isanti, MN",Gymnastics,,Olympian
175.3,,39,"Northampton, PA",,,Team USA
167.6,,30,"Telluride, CO",Freestyle Skiing,,Olympian
185.4,,39,"Boston, MA",Ice Hockey,,Olympian
195.6,,37,Hudson,,,Team USA
185.4,,33,"Victorville, CA",Track and Field,,Team USA
152.4,,21,"Las Vegas, NV",Gymnastics,,Team USA
165.1,,32,"Richland, WA",Para Track and Field,,Paralympian
160.0,,21,"Milwaukie, OR",,,Team USA
162.6,,31,"Morris, AL",Softball,,Olympian
165.1,,45,Mill Creek,,,Olympian
190.5,,24,"Raleigh, NC",Basketball,,Olympian
170.2,,37,"Hampton, VA",Track and Field,,Olympian
185.4,,39,"Baltimore, MD",Basketball,,Olympian
162.6,,32,"Cheswich, PA",Sled Hockey,,Paralympian
157.5,,,Wichita Falls,,,Olympian
180.3,,32,"Carkesville, GA",Golf,,Team USA
182.9,,42,"Boerne, TX",Para Track and Field,,Team USA
160.0,,20,"Moultrie, GA",Diving,,Team USA
152.4,,,"Chapel Hill, NC",Para Swimming,,Paralympian
177.8,,34,"Chapel Hill, NC",Diving,,Olympian
195.6,,35,"Canoga Park, CA",Track and Field,,Olympian
