height_cm,weight_kg,age,hometown,sport,classification,program
177.8,,41,Selby,,,Olympian
162.6,,,"Lititz, PA",Field Hockey,,Team USA
165.1,,29,"Portage, WI",Curling,,Team USA
172.7,,34,"Danville, IN",Shooting,,Team USA
172.7,,44,Irvine,,,Olympian
121.9,,19,"Coats, NC",Sled Hockey,,Paralympian
172.7,,33,Lyon,Canoe/Kayak,,Olympian
167.6,,26,"Fort Fairfield, ME",Biathlon,,Team USA
188.0,,,,,,Team USA
190.5,,,"Coto De Caza, CA",Volleyball,,Team USA
172.7,,29,"Miami, FL",Softball,,Team USA
170.2,,37,,Wrestling,,Team USA
182.9,,48,Chicago,,,Team USA
188.0,,27,"Rice Lake, WI",Track and Field,,Olympian
165.1,,,Norman,,,Team USA
162.6,,48,,,,Olympian
167.6,,22,"Alamo, CA",Artistic Swimming,,Team USA
167.6,,33,"Saunderstown, RI",Swimming,,Olympian
167.6,,41,Kirkland,,,Olympian
165.1,,32,"Tampa, FL",Softball,,Team USA
185.4,,37,"Birmingham, AL",Wheelchair Basketball,,Paralympian
182.9,,49,Decatur,Track and Field,,Olympian
160.0,,30,"Monument, CO",Figure Skating,,Olympian
170.2,,39,"Westfield, MA",Ice Hockey,,Olympian
198.1,,31,"Forest Lake, Minn.",Rowing,,Team USA
190.5,,36,"Cornona, CA",Track and Field,,Olympian
193.0,,34,"Minneapolis, MN",Rugby,,Olympian
205.7,,31,"Rancho Palos Verdes, CA",Beach Volleyball,,Olympian
185.4,,23,"Hingham, MA",Ice Hockey,,Olympian
190.5,,28,"Mount Vernon, NY",Track and Field,,Olympian
200.7,,33,"Palisades Tahoe, CA",Alpine Skiing,,Olympian
177.8,,21,"New York, NY",,,Team USA
182.9,,52,"Surprise, AZ",Para Archery,,Paralympian
177.8,,33,"Wadsworth, OH",Soccer,,Paralympian
165.1,,31,"Corona, CA",Softball,,Team USA
170.2,,21,"Midway, UT",Biathlon,,Team USA
185.4,,50,Bear Lake,,,Team USA
170.2,,,"Litchfield Park, AZ",,,Olympian
195.6,,30,"Atlanta, GA",Swimming,,Olympian
114.3,,29,"Snohomish, WA",Para Swimming,,Paralympian
175.3,,30,"Steamboat Springs, CO",Nordic Combined,,Olympian
